id,enable_settings,commodity_shortage_effect_type,commodities_demanded,data
# I can't think of any good way to automatically tie commodity shortages to effects since you might want the maximum deficit of a market size and a flat commodity, or the sum of deficits to tie to give a flatt penalty to upkeep, etc
# So just do the effects independently and rely on humans to keep things in line
# I hate it
# Each demand shortage effect checks its commodities however it needs to, and then applies the effects to the given industry
# This can also be used as a general way to add effects to industries, such as Genelab's bonus to Mesozoic Park's income, or the condition dependent change in Kletka Simulators' upkeep. Finding that the squareish peg fits into the square hole with this one.
# id is a unique identifier for each demand shortage effect
# enable_settings is the settings that have to be enabled for this demand shortage effect to be active
# commodity_shortage_effect_type is the type of this commodity demand shortage effect
# commodities_demanded is a | separated list of commodities that will be checked for deficits
# data is demand type specific data
# DeficitToInactive requires no specific data. If there's a shortage, the industry becomes non-functional
# DeficitToCommodity is a "commodity_to_deficit1 | commodity_to_deficity2 | etc" list. Maximum deficit of the first collection is applied to all the commodities in the second collection.
# DeficitMultiplierToUpkeep is a "float". If any of the commodities in the first collection are in deficit, the upkeep is multiplied by the float.
# ConditionToUpkeep is a horrible, horrible hack for Kletka Simulator. "commodities_demanded" is ignored. "data" is a | separated collection of "condition ; upkeep_multiplier" pairs.
# TagToUpkeep is the same as ConditionToUpkeep but is for tags instead of conditions, and includes a third description component in each element ie "tag ; upkeep_multiplier ; description"
# RequirementsToResetProgress is a | separated list of requirements Is as specified in 'terraforming_requirements.csv'. If any of the requirements is met, industry project progress is reset
heavy_machinery_deficit_to_inactive,,DeficitToInactive,"heavy_machinery",
heavy_machinery_deficit_to_food,,DeficitToCommodity,"heavy_machinery","food"
domain_artifacts_deficit_to_organs,boggledDomainTechContentEnabled | boggledDomainArchaeologyEnabled,DeficitToCommodity,"domain_artifacts","organs"
domain_artifacts_deficit_to_5_times_upkeep,boggledDomainTechContentEnabled | boggledDomainArchaeologyEnabled,DeficitMultiplierToUpkeep,"domain_artifacts",5.0

kletka_simulator_temperature_to_upkeep,boggledKletkaSimulatorTemperatureBasedUpkeep,ConditionMultiplierToUpkeep,,"very_cold ; 0.25 | cold ; 0.5 | hot ; 2.0 | very_hot ; 4.0"
kletka_simulator_station_to_upkeep,boggledKletkaSimulatorTemperatureBasedUpkeep,TagMultiplierToUpkeep,,"station ; 8.0 ; a station"

perihelion_project_deficit_to_inactive,,DeficitToInactive,"domain_artifacts | metals | rare_metals | heavy_machinery",

mesozoic_park_income_bonus_from_genelab,,IncomeBonusFromIndustry,,"BOGGLED_GENELAB ; 1.5"

genelab_pollution_reset_progress,,RequirementsToResetProgress,,"colony_has_heavy_industry_or_orbital_works_with_nanoforge"

just_break_the_damn_thing,,DeficitToInactive,"heavy_machinery | supplies | fuel",
